coin_id,n_hours,avg_predicted_social,avg_real_social,social_mae,social_mae_pct,social_bias
aave,168,34.34,4.0,30.34,88.25,30.34
aptos,168,25.95,9.57,16.38,60.77,16.38
avalanche-2,4,53.7,21.0,32.7,60.9,32.7
binancecoin,4,100.4,21.0,79.4,78.97,79.4
bitcoin,4,3855.94,1088.0,2767.94,71.76,2767.94
bitcoin-cash,4,77.9,74.0,3.91,5.01,3.91
bittensor,168,21.96,2.0,19.96,90.38,19.96
cardano,4,137.6,59.0,78.6,56.93,78.6
chainlink,4,75.85,31.0,44.86,59.09,44.85
crypto-com-chain,4,30.43,31.0,0.57,1.89,-0.57
dai,4,5.3,2.0,3.3,61.08,3.3
dogecoin,4,162.69,64.0,98.69,60.61,98.69
ethena-usde,4,1.45,1.0,0.96,38.11,0.45
ethereum,4,925.02,207.0,718.02,77.62,718.02
ethereum-classic,168,314.02,88.14,225.87,71.93,225.87
hedera-hashgraph,4,109.98,42.0,67.98,61.45,67.98
hyperliquid,4,201.78,77.0,124.78,61.78,124.78
internet-computer,168,17.35,8.0,9.35,52.67,9.35
jito-staked-sol,168,1.15,0.0,1.15,100.0,1.15
kaspa,168,32.58,0.0,32.58,100.0,32.58
leo-token,4,2.19,0.0,2.19,100.0,2.19
litecoin,4,100.4,22.0,78.4,77.97,78.4
mantle,168,46.23,1.0,45.23,97.44,45.23
monero,4,163.52,21.0,142.52,87.13,142.52
near,168,5.8,0.0,5.8,100.0,5.8
okb,168,1.1,0.0,1.1,100.0,1.1
ondo-finance,168,35.69,4.0,31.69,88.24,31.69
pax-gold,168,3.92,2.0,1.92,48.69,1.92
paypal-usd,4,0.15,1.0,0.86,647.86,-0.86
pepe,168,124.58,19.86,104.73,83.71,104.73
polkadot,168,87.2,18.0,69.2,79.16,69.2
ripple,4,354.67,149.0,205.67,57.99,205.67
shiba-inu,4,35.07,18.0,17.07,48.64,17.07
solana,4,668.02,143.0,525.02,78.59,525.02
stellar,4,38.57,9.0,29.57,76.66,29.57
sui,4,178.73,15.0,163.73,91.61,163.73
tether,4,633.62,121.0,512.62,80.61,512.62
tether-gold,168,4.47,2.0,2.47,50.79,2.47
tron,4,53.52,7.0,46.52,86.92,46.52
uniswap,168,45.61,2.0,43.61,95.52,43.61
usd-coin,4,74.18,34.0,40.18,54.07,40.18
usds,4,2.0,1.0,1.0,50.12,1.0
weth,168,11.2,4.0,7.2,63.59,7.2
wrapped-eeth,168,1.65,0.0,1.65,100.0,1.65
zcash,4,5.7,5.0,0.7,12.31,0.7
