coin_id,MAE_return,RMSE_return,MLP_direction_accuracy,MLP_train_accuracy
aave,0.0,0.0,1.0,1.0
aptos,8.8e-05,0.000179,0.9583,0.9787
avalanche-2,9e-06,9e-06,1.0,0.9931
binance-bridged-usdt-bnb-smart-chain,1e-06,1e-06,1.0,0.9992
binancecoin,7e-06,7e-06,1.0,0.9923
bitcoin,5e-06,5e-06,1.0,0.9892
bitcoin-cash,0.0,0.0,1.0,0.9938
bitget-token,5e-06,5e-06,1.0,0.9961
bittensor,1.4e-05,1.4e-05,1.0,0.9985
blackrock-usd-institutional-digital-liquidity-fund,0.0,0.0,1.0,1.0
cardano,8e-06,8e-06,1.0,0.9946
chainlink,4e-06,4e-06,1.0,0.9884
coinbase-wrapped-btc,1.2e-05,1.2e-05,1.0,0.9947
crypto-com-chain,6e-05,0.000106,0.9583,0.9916
dai,7e-06,1.9e-05,1.0,0.9537
dogecoin,1.9e-05,1.9e-05,1.0,0.9946
ethena-usde,1e-06,1e-06,1.0,0.9992
ethereum,7e-06,7e-06,1.0,0.9892
ethereum-classic,2.1e-05,4.6e-05,1.0,0.9932
hedera-hashgraph,1.8e-05,1.8e-05,1.0,1.0
hyperliquid,3e-06,3e-06,1.0,1.0
internet-computer,8.4e-05,0.000126,0.9583,0.9901
jito-staked-sol,6.3e-05,0.000121,1.0,0.9863
kaspa,0.000135,0.000141,0.9583,0.9962
leo-token,1.5e-05,1.5e-05,1.0,0.9838
litecoin,3e-06,3e-06,1.0,0.9861
monero,2e-06,2e-06,1.0,0.9799
near,0.0,0.0,1.0,1.0
okb,7.5e-05,0.000161,1.0,0.9886
ondo-finance,6.3e-05,0.000106,0.8333,0.9841
pepe,0.000132,0.000218,1.0,0.9992
pi-network,1.5e-05,1.5e-05,1.0,0.9768
polkadot,1.1e-05,1.1e-05,1.0,0.9938
ripple,2e-06,2e-06,1.0,0.9954
shiba-inu,5e-06,5e-06,1.0,0.9985
solana,1e-06,1e-06,1.0,0.9969
staked-ether,8e-06,8e-06,1.0,0.9822
stellar,1.9e-05,1.9e-05,1.0,0.9977
sui,3e-06,3e-06,1.0,0.9907
tether,0.0,0.0,1.0,0.9985
the-open-network,7e-06,7e-06,1.0,0.9961
tron,1.4e-05,1.4e-05,1.0,0.9946
uniswap,6.6e-05,6.6e-05,0.7917,0.99
usd-coin,0.0,0.0,1.0,0.99
usds,0.0,0.0,1.0,0.9985
weth,7e-06,7e-06,1.0,0.9977
whitebit,1e-05,1e-05,1.0,1.0
wrapped-bitcoin,8e-06,8e-06,1.0,0.9884
wrapped-eeth,3e-06,3e-06,1.0,0.9954
wrapped-steth,1e-05,1e-05,1.0,0.9853
